"AnimalName","numberOfAnimals","AnimalType"
"Fergus",5,"Cat"
"Mischa",5,"Cat"
"Jett",5,"Cat"
"Tess",5,"Cat"
"Wilma",5,"Cat"
"Freya",5,"Cat"
"Macey",5,"Cat"
"Leroy",5,"Cat"
"Maddy",5,"Cat"
"Penelope",5,"Cat"
"Lady",5,"Cat"
"Otis",5,"Cat"
"Tiffany",5,"Cat"
"Ava",5,"Cat"
"Comet",5,"Cat"
"Josie",5,"Cat"
"Woody",5,"Cat"
"Memphis",5,"Cat"
"Smooch",5,"Cat"
"Felicity",5,"Cat"
"Calico",5,"Cat"
"Junior",5,"Cat"
"Dante",5,"Cat"
"Bruno",5,"Cat"
"Venus",5,"Cat"
"Floyd",5,"Cat"
"Lenny",5,"Cat"
"Annie",5,"Cat"
"Patches",5,"Cat"
"Asha",5,"Cat"
"Cinder",5,"Cat"
"Frosty",5,"Cat"
"Fanta",5,"Cat"
"Chico",5,"Cat"
"Amy",5,"Cat"
"Shiloh",5,"Cat"
"Pearl",5,"Cat"
"Dora",5,"Cat"
"Barry",5,"Cat"
"Rio",5,"Cat"
"Frank",5,"Cat"
"Alex",5,"Cat"
"Marty",5,"Cat"
"Owen",5,"Cat"
"Charlotte",5,"Cat"
"Jinty",5,"Cat"
"Winter",5,"Cat"
"Lolly",5,"Cat"
"Stella",5,"Cat"
"Snow",5,"Cat"
"Evie",5,"Cat"
"Cedric",5,"Cat"
"Puddy",4,"Cat"
"India",4,"Cat"
"Rocket",4,"Cat"
"Scarlett",4,"Cat"
"Kit Kat",4,"Cat"
"Spike",4,"Cat"
"Maisie",4,"Cat"
"Sinbad",4,"Cat"
"Ralph",4,"Cat"
"Chevy",4,"Cat"
"Bunny",4,"Cat"
"Humphrey",4,"Cat"
"Libby",4,"Cat"
"Lou Lou",4,"Cat"
"Dusky",4,"Cat"
"Cindy",4,"Cat"
"Lotus",4,"Cat"
"Tyson",4,"Cat"
"Bianca",4,"Cat"
"Violet",4,"Cat"
"Frodo",4,"Cat"
